"ID", "説明"
"105", "プレイヤーが自身と同じ部屋（通路の場合は自身の周囲8マス）にいるとき、20%の確率で自身以外の全てのプレイヤー・敵を混乱状態にする。「レノア「あなたのメロディを、私に聴かせて。」」使用したら5ターンの間再使用しない。"
"109", "プレイヤーが隣接している時、15%の確率で、プレイヤーの手持ちのアイテム1つをハンバーガー（4004）に変化する。「Eleven「お食事の時間スタート！」」装備中のアイテムは対象にしない。"
"110", "プレイヤーが隣接している時、20%の確率で、プレイヤーの手持ちのアイテム1つをハンバーガー（4004）に変化する。「Eleven「お食事の時間スタート！」」装備中のアイテムは対象にしない。"
"111", "プレイヤーが隣接している時、25%の確率で、プレイヤーの手持ちのアイテム1つをハンバーガー（4004）に変化する。「Eleven「お食事の時間スタート！」」装備中のアイテムは対象にしない。"
"112", "プレイヤーが隣接している時、30%の確率で、プレイヤーの手持ちのアイテム1つをハンバーガー（4004）に変化する。「Eleven「お食事の時間スタート！」」装備中のアイテムは対象にしない。"
"113", "同じフロアにスポーンする敵1種類と同様の能力を持ってスポーンする。"
"117", "プレイヤーが自身の視界内かつ直線8方向10マス以内にいる場合、15%の確率で突進する。突進は対象の目の前のマスまで移動し、命中したプレイヤー・敵を後方に10マス弾き飛ばす。弾き飛ばされたプレイヤー・敵は10ダメージを受ける。弾き飛ばし中に他のプレイヤー・敵に衝突した場合はそこで停止し、衝突した対象にも10ダメージを与える。「ヒョヌは突進した！」"
"118", "プレイヤーが自身の視界内かつ直線8方向10マス以内にいる場合、15%の確率で突進する。突進は対象の目の前のマスまで移動し、命中したプレイヤー・敵を後方に10マス弾き飛ばす。弾き飛ばされたプレイヤー・敵は20ダメージを受ける。弾き飛ばし中に他のプレイヤー・敵に衝突した場合はそこで停止し、衝突した対象にも20ダメージを与える。「ヒョヌは突進した！」"
"119", "プレイヤーが自身の視界内かつ直線8方向10マス以内にいる場合、15%の確率で突進する。突進は対象の目の前のマスまで移動し、命中したプレイヤー・敵を後方に10マス弾き飛ばす。弾き飛ばされたプレイヤー・敵は30ダメージを受ける。弾き飛ばし中に他のプレイヤー・敵に衝突した場合はそこで停止し、衝突した対象にも30ダメージを与える。「ヒョヌは突進した！」"
"120", "プレイヤーが自身の視界内かつ直線8方向10マス以内にいる場合、15%の確率で突進する。突進は対象の目の前のマスまで移動し、命中したプレイヤー・敵を後方に10マス弾き飛ばす。弾き飛ばされたプレイヤー・敵は40ダメージを受ける。弾き飛ばし中に他のプレイヤー・敵に衝突した場合はそこで停止し、衝突した対象にも40ダメージを与える。「ヒョヌは突進した！」"
"121", "直線上（視界内外問わず、射程無限、非壁貫通）にプレイヤーがいれば、50%の確率で遠距離攻撃する。ただし間に敵がいる場合はその敵に命中する。"
"125", "攻撃後すぐに、可能ならばターンを消費せずに1歩後ろのマスに下がる。「フィオラはバックステップした！」"
"129", "プレイヤーが同じ部屋にいる時、プレイヤーの視界が周囲1マス（通路と同様）になる。"
"133", "プレイヤーと隣接している時、100%の確率でプレイヤーの装備していないアイテム1つを盗む。盗むとフロアのどこかにワープする。盗んだアイテムは、倒すとドロップする。1度盗んだらもう盗まない。「ラウラは○○を盗んで逃げた！」"
"137", "プレイヤーと隣接している時、30%の確率でプレイヤーの手持ちの装置系アイテム1つを、別の装置系アイテムに変化させる。「バーバラは○○を改造して●●にした！」"
"145", "攻撃時、20%の確率で痛恨の一撃となり1.5倍のダメージを与える。「マーカスは痛恨の一撃を放った！""
"149", "スポーン時、姿をアイテムに擬態して出現している。擬態状態では動かない。プレイヤーがそのアイテムの上に進もうとすると、擬態状態を解除する。「エマ「ジャジャーン！マジシャン登場！」」ルクやプリヤの能力では対象にならない。"
"153", "常時鈍足状態。プレイヤーが15マス以内（視界内外問わず、射程無限、壁・角度無視）にいる場合、照準を合わせる。「カティアは照準を合わせた！」次のターンも15マス以内にプレイヤーがいる場合、遠距離攻撃（視界内外問わず、射程無限、壁・角度無視）をする。"
"154", "常時鈍足状態。プレイヤーが20マス以内（視界内外問わず、射程無限、壁・角度無視）にいる場合、照準を合わせる。「カティアは照準を合わせた！」次のターンも20マス以内にプレイヤーがいる場合、遠距離攻撃（視界内外問わず、射程無限、壁・角度無視）をする。"
"155", "常時鈍足状態。プレイヤーが30マス以内（視界内外問わず、射程無限、壁・角度無視）にいる場合、照準を合わせる。「カティアは照準を合わせた！」次のターンも30マス以内にプレイヤーがいる場合、遠距離攻撃（視界内外問わず、射程無限、壁・角度無視）をする。"
"156", "常時鈍足状態。プレイヤーの位置に関わらず、照準を合わせる。「カティアは照準を合わせた！」次のターン遠距離攻撃（視界内外問わず、射程無限、壁・角度無視）をする。"
"157", "プレイヤーが同じ部屋にいる時、25%の確率で自身を除く部屋全てのプレイヤー・敵に{自身の現在のHP - 1}分の固定ダメージを与える。「シセラは苦痛を解放した！」この特技ではHPは1以上残る。特技を使うと、自身のHPは1になる。スキルは1度しか使わない。"
"171", "プレイヤーが10マス以内にいる時（視界内外問わず、8方向、壁貫通）、20%の確率で固定15メージのレーザーを発射する。レーザーは直線上の全ての対象に命中する。また射程直線内にあった壁は全て破壊される。「ユスティナ「アストラバースト！！！」」"
"172", "プレイヤーが10マス以内にいる時（視界内外問わず、8方向、壁貫通）、20%の確率で固定25ダメージのレーザーを発射する。レーザーは直線上の全ての対象に命中する。また射程直線内にあった壁は全て破壊される。「ユスティナ「アストラバースト！！！」」"
"173", "プレイヤーが20マス以内にいる時（視界内外問わず、8方向、壁貫通）、30%の確率で固定30ダメージのレーザーを発射する。レーザーは直線上の全ての対象に命中する。また射程直線内にあった壁は全て破壊される。「ユスティナ「アストラバースト！！！」」"
"174", "プレイヤーが直線上にいる時（視界内外問わず、8方向、壁貫通）、40%の確率で固定40ダメージのレーザーを発射する。レーザーは直線上の全ての対象に命中する。また射程直線内にあった壁は全て破壊される。「ユスティナ「アストラバースト！！！」」"
"175", "プレイヤーが隣接している時、50%の確率で固定20ダメージの電撃攻撃をする。「エイデンは電撃を放った！」電撃攻撃は自身を除く攻撃対象の周囲8マスのプレイヤー・敵全員に命中する。"
"176", "プレイヤーが隣接している時、50%の確率で固定30ダメージの電撃攻撃をする。「エイデンは電撃を放った！」電撃攻撃は自身を除く攻撃対象の周囲8マスのプレイヤー・敵全員に命中する。"
"177", "プレイヤーが隣接している時、50%の確率で固定40ダメージの電撃攻撃をする。「エイデンは電撃を放った！」電撃攻撃は自身を除く攻撃対象の周囲8マスのプレイヤー・敵全員に命中する。"
"178", "プレイヤーが隣接している時、50%の確率で固定50ダメージの電撃攻撃をする。「エイデンは電撃を放った！」電撃攻撃は自身を除く攻撃対象の周囲8マスのプレイヤー・敵全員に命中する。"
"179", "フロア内に睡眠状態もしくは睡眠（スポーン）状態のプレイヤー・敵がいるとき、全てのプレイヤー・敵の睡眠状態を解除する。「フロア内に風が流れ、皆目を覚ました！」"
"183", "フロア内の敵がダメージを受けた時、その敵の周囲にワープして、その敵のHPを20回復する。「シャーロット「まあ、ひどい傷・・・！」」シャーロットが複数いても、1ターン中に1体しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"184", "フロア内の敵がダメージを受けた時、その敵の周囲にワープして、その敵のHPを30回復する。「シャーロット「まあ、ひどい傷・・・！」」シャーロットが複数いても、1ターン中に1体しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"185", "フロア内の敵がダメージを受けた時、その敵の周囲にワープして、その敵のHPを40回復する。「シャーロット「まあ、ひどい傷・・・！」」シャーロットが複数いても、1ターン中に1体しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"186", "フロア内の敵がダメージを受けた時、その敵の周囲にワープして、その敵のHPを50回復する。「シャーロット「まあ、ひどい傷・・・！」」シャーロットが複数いても、1ターン中に1体しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"900", "状況に関わらずプレイヤーの位置が分かる。プレイヤーが4マス以上10マス以内にいる時、プレイヤーの隣にワープする。「アイザック「検問でぇ～す。」」"
"901", "状況に関わらずプレイヤーの位置が分かる。プレイヤーが6マス以上20マス以内（視界内外問わず、射程無限、壁・角度無視）にいる場合、照準を合わせる。「ヘイズは照準を合わせた！」次のターンも20マス以内にプレイヤーがいる場合、遠距離攻撃（視界内外問わず、射程無限、壁・角度無視）をする。プレイヤーが6マス以内かつ直線上にいる場合、50%の確率で遠距離攻撃をする。"
