0011: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0012: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0013: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0014: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0015: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0016: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0017: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0018: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0019: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0020: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0021: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0022: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0023: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0024: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0025: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0026: [9-12] x0-0 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0027: [9-12] x0-0 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0028: [9-12] x0-0 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0029: [9-12] x0-0 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0030: [9-12] x0-0 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
