"ID", "分類", "名前", "攻撃力", "防御力", "HP加算量", "満腹度加算量", "装備時効果", "使用時効果ID", "使用可能回数最小", "使用可能回数最大", "説明文"
"1000", "10", "ワルサーPPK", "0", "0", "", "", "", "", "7", "7", "有名な小型拳銃。"
"1001", "10", "ベレッタM92F", "0", "0", "", "", "", "", "16", "16", "イタリア製の使い勝手の良い拳銃。"
"1002", "10", "エレガンス", "0", "0", "", "", "", "", "24", "24", "優雅なデザインの最新型拳銃。"
"1003", "10", "マグナム・パイソン", "0", "0", "", "", "300", "", "6", "6", "装備中は遠距離攻撃力を5増やす、マグナム弾を使用するリボルバー。"
"1004", "10", "マグナム・アナコンダ", "0", "0", "", "", "301", "", "6", "6", "装備中は遠距離攻撃力を10増やす、マグナム弾を使用する強力なリボルバー。"
"1005", "10", "エレクトロンブラスター", "0", "0", "", "", "301", "", "20", "20", "装備中は遠距離攻撃力を10増やす、最新型のエネルギー兵器。"
"2000", "20", "シャツ", "0", "1", "", "", "", "", "", "", "柔らかい布で作られたシャツ。防御力+1"
"2001", "20", "皮の鎧", "0", "3", "", "", "", "", "", "", "丈夫な皮で作られた鎧。防御力+3"
"2003", "20", "プレートアーマー", "0", "6", "", "", "", "", "", "", "鉄板が重なった頑丈な鎧。防御力+6"
"2004", "20", "防弾チョッキ", "0", "4", "", "", "201", "", "", "", "遠距離攻撃のダメージを軽減するチョッキ。防御力+4"
"2005", "20", "指揮官の鎧", "0", "12", "", "", "", "", "", "", "指揮官が着用するための特別な鎧。防御力+12"
"2006", "20", "光学迷彩スーツ", "0", "7", "", "", "202", "", "", "", "遠距離攻撃のダメージをすごく軽減するチョッキ。防御力+7"
"2007", "20", "EODスーツ", "0", "7", "", "", "203", "", "", "", "爆発物から身を守る特殊なスーツ。防御力+7"
"2008", "20", "袈裟", "0", "2", "", "", "", "", "", "", "僧侶が着用する伝統的な衣服。防御力+2"
"2009", "20", "ローブ", "0", "4", "", "", "", "", "", "", "魔法使いが着用するようなローブ。防御力+4"
"2010", "20", "韓服", "0", "5", "", "", "", "", "", "", "韓国の伝統的な服。防御力+5"
"2011", "20", "御史衣", "0", "8", "", "", "204", "", "", "", "着ていると混乱状態にならない、特別な官士が着用する衣服。防御力+8"
"2012", "20", "祭司長の礼服", "0", "7", "", "", "205", "", "", "", "着ていると睡眠状態にならない、白い礼服。防御力+7"
"2013", "20", "司祭服", "0", "3", "", "", "", "", "", "", "司祭が着用する伝統的な衣服。防御力+3"
"2014", "20", "高位司祭服", "0", "5", "", "", "", "", "", "", "司祭の中でも高位の者が着用する特別な衣服。防御力+5"
"2015", "20", "聖法衣", "0", "5", "", "", "206", "", "", "", "満腹度を5消費して全ての受けるダメージを半減する、聖なる法衣。防御力+5"
"3000", "30", "生命探知機", "0", "0", "", "", "0", "", "", "", "敵の位置が分かるようになる、強力な探知機。"
"3001", "30", "双眼鏡", "0", "0", "", "", "1", "", "", "", "通路での視界が1マス広がる、便利な道具だ。"
"3002", "30", "ブレスレット", "0", "1", "", "", "", "", "", "", "なんの変哲もない腕輪だが、少し実の守りが強くなる。防御力+1"
"3003", "30", "黄金腕輪", "0", "2", "", "", "", "", "", "", "お金持ちが好みそうな豪華な腕輪。防御力+2"
"3004", "30", "スポーツウォッチ", "0", "2", "", "", "2", "", "", "", "付けていると鈍足にならなくなるが、スポーツ要素はわからない時計。防御力+2"
"3005", "30", "再生腕輪", "0", "0", "", "", "3", "", "", "", "装備していると倒れても復活することができる腕輪。ただし復活すると無くなってしまう。"
"3006", "30", "海賊の旗", "0", "0", "", "", "4", "", "", "", "装備していると平和状態にならなくなる、海賊の旗。"
"3007", "30", "海賊の証票", "0", "0", "", "", "5", "", "", "", "装備していると平和状態・麻痺状態にならなくなる、海賊であることの証。"
"3008", "30", "紅のブレスレット", "0", "0", "", "", "6", "", "", "", "装備しているとHPの最大値が15増加する紅い腕輪。"
"3009", "30", "ティンダロスの腕輪", "0", "0", "", "", "7", "", "", "", "装備しているとHPの最大値が30増加する腕輪。"
"3010", "30", "バズバンド", "0", "0", "", "", "8", "", "", "", "装備しているとアイテムが盗まれなくなるバンド。"
"3011", "30", "ソードストッパー", "0", "0", "", "", "9", "", "", "", "装備していると手持ちのアイテムが盗まれたり、変化されなくなるバンド。"
"3012", "30", "カラペースタクル", "0", "0", "", "", "10", "", "", "", "装備していると通常攻撃を受けた時に少しダメージを反射する装備"
"4000", "40", "パン", "0", "0", "", "20", "", "0", "", "", "おいしい普通のパン。満腹度+20"
"4001", "40", "肉", "0", "0", "", "15", "", "0", "", "", "これはなんの肉だろう。満腹度+15"
"4002", "40", "じゃがいも", "0", "0", "", "10", "", "0", "", "", "素朴な味のじゃがいも。満腹度+10"
"4003", "40", "タラ", "0", "0", "", "10", "", "0", "", "", "新鮮なタラ。満腹度+10"
"4004", "40", "ハンバーガー", "0", "0", "", "50", "", "1", "", "", "ジューシーなハンバーガー。満腹度+50"
"4005", "40", "ポテトフライ", "0", "0", "", "30", "", "0", "", "", "カリカリのポテトフライ。満腹度+30"
"4006", "40", "フィッシュカツ", "0", "0", "", "30", "", "0", "", "", "サクサクのフィッシュカツ。満腹度+30"
"4007", "40", "フィッシュ＆チップス", "0", "0", "", "100", "", "2", "", "", "おいしいとおいしいで、すごいおいしい。満腹度+100"
"4008", "40", "ステーキ", "0", "0", "", "50", "", "1", "", "", "熱々のステーキ。満腹度+50"
"4009", "40", "刺身", "0", "0", "", "40", "", "1", "", "", "新鮮な刺身。満腹度+40"
"4010", "40", "ジャガバター", "0", "0", "", "50", "", "1", "", "", "ほくほくのジャガイモにバターをのせた料理。満腹度+50"
"4011", "40", "Elevenセット", "0", "0", "", "100", "", "2", "", "", "Elevenじゃなくても作れちゃう。満腹度+100"
"5000", "50", "睡眠ガス弾", "0", "0", "", "", "", "50", "1", "1", "投げて当てた敵とその周囲の敵も眠らせる強力なガス弾。"
"5001", "50", "感情のコップ", "0", "0", "", "", "", "51", "4", "6", "同じ部屋にいる敵を混乱させる力があるコップ。"
"5002", "50", "ジャンプパッド", "0", "0", "", "", "", "52", "3", "5", "使うとランダムな部屋に飛べる便利な装置。"
"5003", "50", "SCV", "0", "0", "", "", "", "53", "3", "5", "使うとそのフロアにいる間、罠避け状態になる乗り物。"
"5004", "50", "改造E.M.O.T.E", "0", "0", "", "", "", "54", "4", "6", "同じ部屋にいる敵を麻痺させる、プロトコル違反を発生させる装置。"
"5005", "50", "ボルティックレット", "0", "0", "", "", "", "55", "4", "6", "射程10マス以内の敵全てに50ダメージを与える、強力な電撃装置。"
"5006", "50", "包帯", "0", "0", "30", "", "", "", "4", "6", "使うとHPを30回復する包帯。"
"5007", "50", "救急箱", "0", "0", "100", "", "", "", "4", "6", "使うとHPを100回復する救急箱。"
"5008", "50", "ハープーンガン", "0", "0", "", "", "", "56", "4", "6", "使うと撃った方向に瞬時に移動できる銃。"
"5009", "50", "のんびり粉", "0", "0", "", "", "", "57", "3", "3", "投げて当てた敵とその周囲の敵の動きを遅くする粉。"
"5010", "50", "ザ・ムーン", "0", "0", "", "", "", "58", "5", "6", "選んだ方向の壁を10マス掘る進撃の月。敵にダメージは与えられないが、敵の奥の壁も掘れちゃう。"
"7000", "70", "薬草", "0", "0", "30", "", "", "20", "", "", "回復効果のある薬草。HP+30"
"7001", "70", "ハーブ", "0", "0", "100", "", "", "21", "", "", "回復効果のあるハーブ。HP+100"
"7002", "70", "眠り草", "0", "0", "", "", "", "22", "", "", "寝る前に食べると熟睡できるらしい草。"
"7003", "70", "空飛ぶ草", "0", "0", "", "", "", "23", "", "", "食べるとどこかに飛べるらしい草。"
"7004", "70", "落着き草", "0", "0", "", "", "", "24", "", "", "食べると混乱が治まるらしい草。"
"7005", "70", "早足の草", "0", "0", "", "", "", "25", "", "", "食べると少しの間足が速くなる草。"
"7006", "70", "のんびり草", "0", "0", "", "", "", "26", "", "", "食べると少しの間足が遅くなる草。"
"8000", "80", "ハンバーガーのレシピ", "0", "0", "", "", "", "", "", "", "パン + 肉"
"8001", "80", "ハーブのレシピ", "0", "0", "", "", "", "", "", "", "薬草 + 花"
"8002", "80", "フィッシュ＆チップスのレシピ", "0", "0", "", "", "", "", "", "", "フィッシュカツ + ポテトフライ"
"8003", "80", "ポテトフライのレシピ", "0", "0", "", "", "", "", "", "", "じゃがいも + オイル"
"8004", "80", "フィッシュカツのレシピ", "0", "0", "", "", "", "", "", "", "タラ + ライター"
"8005", "80", "長剣のレシピ", "0", "0", "", "", "", "", "", "", "錆びついた剣 + オイル"
"8006", "80", "皮の鎧のレシピ", "0", "0", "", "", "", "", "", "", "シャツ + 皮"
"8007", "80", "鉄板のレシピ", "0", "0", "", "", "", "", "", "", "くず鉄 + 金槌"
"8008", "80", "刀のレシピ", "0", "0", "", "", "", "", "", "", "錆びついた剣 + 鉄板"
"8009", "80", "琉球トンファーのレシピ", "0", "0", "", "", "", "", "", "", "トンファー + 鉄板"
"8010", "80", "ステーキのレシピ", "0", "0", "", "", "", "", "", "", "肉 + ライター"
"8011", "80", "刺身のレシピ", "0", "0", "", "", "", "", "", "", "タラ + 包丁"
"8012", "80", "睡眠ガス弾のレシピ", "0", "0", "", "", "", "", "", "", "眠り草 + ガラスのビン"
"8013", "80", "ガラス玉のレシピ", "0", "0", "", "", "", "", "", "", "ガラスのビン + 金槌"
"8014", "80", "鏡玉のレシピ", "0", "0", "", "", "", "", "", "", "ガラス玉 + オイル"
"8015", "80", "感情のコップのレシピ", "0", "0", "", "", "", "", "", "", "鏡玉 + 十字架"
"8016", "80", "電子部品のレシピ", "0", "0", "", "", "", "", "", "", "バッテリー + ピアノ線"
"8017", "80", "ジャンプパッドのレシピ", "0", "0", "", "", "", "", "", "", "鉄板 + 電子部品"
"8018", "80", "双眼鏡のレシピ", "0", "0", "", "", "", "", "", "", "鏡玉 + くず鉄"
"8019", "80", "SCVのレシピ", "0", "0", "", "", "", "", "", "", "電子部品 + 空飛ぶ草"
"8020", "80", "改造E.M.O.T.Eのレシピ", "0", "0", "", "", "", "", "", "", "電子部品 + 針金"
"8021", "80", "針金のレシピ", "0", "0", "", "", "", "", "", "", "ピアノ線 + くず鉄"
"8022", "80", "ボルティックレットのレシピ", "0", "0", "", "", "", "", "", "", "バッテリー + 長剣"
"8023", "80", "プレートアーマーのレシピ", "0", "0", "", "", "", "", "", "", "鉄板 + 皮の鎧"
"8024", "80", "黄金のレシピ", "0", "0", "", "", "", "", "", "", "つるはし + 原石"
"8025", "80", "物干し竿のレシピ", "0", "0", "", "", "", "", "", "", "刀 + 黄金"
"8026", "80", "防弾チョッキのレシピ", "0", "0", "", "", "", "", "", "", "鉄板 + シャツ"
"8027", "80", "黄金腕輪のレシピ", "0", "0", "", "", "", "", "", "", "黄金 + ブレスレット"
"8028", "80", "スポーツウォッチのレシピ", "0", "0", "", "", "", "", "", "", "黄金腕輪 + 電子部品"
"8029", "80", "再生腕輪のレシピ", "0", "0", "", "", "", "", "", "", "黄金腕輪 + 十字架"
"8030", "80", "マイソークのレシピ", "0", "0", "", "", "", "", "", "", "琉球トンファー + 皮"
"8031", "80", "プラズマトンファーのレシピ", "0", "0", "", "", "", "", "", "", "トンファー + 電子部品"
"8032", "80", "ウィンドランナーのレシピ", "0", "0", "", "", "", "", "", "", "マイソーク + 早足の草"
"8033", "80", "包帯のレシピ", "0", "0", "", "", "", "", "", "", "生地 + オイル"
"8034", "80", "救急箱のレシピ", "0", "0", "", "", "", "", "", "", "包帯 + ハーブ"
"8035", "80", "ジャガバターのレシピ", "0", "0", "", "", "", "", "", "", "じゃがいも + ライター"
"8036", "80", "ブレードトンファーのレシピ", "0", "0", "", "", "", "", "", "", "黒曜石十手 + 針金"
"8037", "80", "黄金のつるはしのレシピ", "0", "0", "", "", "", "", "", "", "黄金 + つるはし"
"8038", "80", "光の剣のレシピ", "0", "0", "", "", "", "", "", "", "物干し竿 + ガラス玉"
"8039", "80", "ホヴズのレシピ", "0", "0", "", "", "", "", "", "", "長剣 + ガラスのビン"
"8040", "80", "ハデスエッジのレシピ", "0", "0", "", "", "", "", "", "", "ホヴズ + ルビー"
"8041", "80", "エクスカリバーのレシピ", "0", "0", "", "", "", "", "", "", "光の剣 + 原石"
"8042", "80", "ダインスレイヴのレシピ", "0", "0", "", "", "", "", "", "", "ハデスエッジ + 針金"
"8043", "80", "指揮官の鎧のレシピ", "0", "0", "", "", "", "", "", "", "プレートアーマー + 黄金"
"8044", "80", "光学迷彩スーツのレシピ", "0", "0", "", "", "", "", "", "", "防弾チョッキ + ガラス玉"
"8045", "80", "EODスーツのレシピ", "0", "0", "", "", "", "", "", "", "防弾チョッキ + 電子部品"
"8046", "80", "生命探知機のレシピ", "0", "0", "", "", "", "", "", "", "双眼鏡 + 電子部品"
"8047", "80", "ローブのレシピ", "0", "0", "", "", "", "", "", "", "袈裟 + 生地"
"8048", "80", "韓服のレシピ", "0", "0", "", "", "", "", "", "", "ローブ + 花"
"8049", "80", "御史衣のレシピ", "0", "0", "", "", "", "", "", "", "韓服 + 生地"
"8050", "80", "祭司長の礼服のレシピ", "0", "0", "", "", "", "", "", "", "韓服 + 皮"
"8051", "80", "海賊の旗のレシピ", "0", "0", "", "", "", "", "", "", "生地 + 鉄板"
"8052", "80", "海賊の証票のレシピ", "0", "0", "", "", "", "", "", "", "海賊の旗 + 皮"
"8053", "80", "ハープーンガンのレシピ", "0", "0", "", "", "", "", "", "", "ワルサーPPK + つるはし"
"8054", "80", "黒曜石十手のレシピ", "0", "0", "", "", "", "", "", "", "プラズマトンファー + 原石"
"8055", "80", "司祭服のレシピ", "0", "0", "", "", "", "", "", "", "シャツ + 十字架"
"8056", "80", "高位司祭服のレシピ", "0", "0", "", "", "", "", "", "", "司祭服 + 十字架"
"8057", "80", "聖法衣のレシピ", "0", "0", "", "", "", "", "", "", "高位司祭服 + 黄金"
"8058", "80", "紅のブレスレットのレシピ", "0", "0", "", "", "", "", "", "", "ブレスレット + ルビー"
"8059", "80", "灰のレシピ", "0", "0", "", "", "", "", "", "", "ライター + 生地"
"8060", "80", "ティンダロスの腕輪のレシピ", "0", "0", "", "", "", "", "", "", "紅のブレスレット + 皮"
"8061", "80", "ベレッタM92Fのレシピ", "0", "0", "", "", "", "", "", "", "ワルサーPPK + ピアノ線"
"8062", "80", "エレガンスのレシピ", "0", "0", "", "", "", "", "", "", "ベレッタM92F + 灰"
"8063", "80", "マグナム・パイソンのレシピ", "0", "0", "", "", "", "", "", "", "ワルサーPPK + 金槌"
"8064", "80", "マグナム・アナコンダのレシピ", "0", "0", "", "", "", "", "", "", "マグナム・パイソン + ライター"
"8065", "80", "エレクトロンブラスターのレシピ", "0", "0", "", "", "", "", "", "", "マグナム・アナコンダ + 電子部品"
"8066", "80", "のんびり粉のレシピ", "0", "0", "", "", "", "", "", "", "のんびり草 + 灰"
"8067", "80", "バズバンドのレシピ", "0", "0", "", "", "", "", "", "", "ブレスレット + くず鉄"
"8068", "80", "ソードストッパーのレシピ", "0", "0", "", "", "", "", "", "", "バズバンド + 針金"
"8069", "80", "ルビーのレシピ", "0", "0", "", "", "", "", "", "", "原石 + 金槌"
"8070", "80", "カラペースタクルのレシピ", "0", "0", "", "", "", "", "", "", "バズバンド + 包丁"
"8071", "80", "『ムササビ』のレシピ", "0", "0", "", "", "", "", "", "", "ウィンドランナー + 灰"
"8072", "80", "ザ・ムーンのレシピ", "0", "0", "", "", "", "", "", "", "つるはし + 鏡玉"
"9000", "90", "花", "0", "0", "", "", "", "", "", "", "きれいなお花。"
"9001", "90", "オイル", "0", "0", "", "", "", "", "", "", "瓶に入ったオイル。"
"9002", "90", "ライター", "0", "0", "", "", "", "", "", "", "1回使い切りのライター。"
"9003", "90", "皮", "0", "0", "", "", "", "", "", "", "これは何の皮だろう。"
"9004", "90", "くず鉄", "0", "0", "", "", "", "", "", "", "使い道があるかもしれないくず鉄。"
"9005", "90", "金槌", "0", "0", "", "", "", "", "", "", "物を叩くための道具。"
"9006", "90", "鉄板", "0", "0", "", "", "", "", "", "", "加工された鉄板。"
"9007", "90", "ガラスのビン", "0", "0", "", "", "", "", "", "", "投げても割れることはないので安心。"
"9008", "90", "ガラス玉", "0", "0", "", "", "", "", "", "", "ガラスでできた丈夫な玉。"
"9009", "90", "鏡玉", "0", "0", "", "", "", "", "", "", "鏡のように反射する玉。"
"9010", "90", "十字架", "0", "0", "", "", "", "", "", "", "手に持つことができる程度の大きさの十字架。"
"9011", "90", "バッテリー", "0", "0", "", "", "", "", "", "", "電力を供給するためのバッテリー。"
"9012", "90", "ピアノ線", "0", "0", "", "", "", "", "", "", "非常に硬く細い金属線。"
"9013", "90", "電子部品", "0", "0", "", "", "", "", "", "", "電子機器を作るための部品。"
"9014", "90", "針金", "0", "0", "", "", "", "", "", "", "非常に硬く細い金属線。"
"9015", "90", "原石", "0", "0", "", "", "", "", "", "", "加工されていない鉱石の塊。"
"9016", "90", "黄金", "0", "0", "", "", "", "", "", "", "貴重な金属の塊。"
"9017", "90", "生地", "0", "0", "", "", "", "", "", "", "きれいな布の生地。"
"9018", "90", "ルビー", "0", "0", "", "", "", "", "", "", "赤く美しい宝石。"
"9019", "90", "灰", "0", "0", "", "", "", "", "", "", "燃えカスのような灰。"
