"ID","メッセージ"
"ENEMY_CELINE_BOMB_HIT_ENEMY","{enemy}の爆弾が{target}に当たり、{damage}ダメージを与えた。"
"ENEMY_KIARA_BRAND","{enemy}は烙印を刻んだ！"
"ENEMY_ZAHIR_BRAINWASH","{enemy}「これは、神から与えられた試練だ。」"
"ENEMY_BIANCA_LIFE_STEAL","{enemy}はHPを{amount}回復した。"
"ENEMY_JOHANN_PRAYED","{enemy}は祈った！"
"ENEMY_REVIVED","{enemy}は棺桶から復活した！"
"PLAYER_REVIVED","再生腕輪により復活した！"
"ENEMY_ADRIANA_FIRE_PILLARS","{enemy}「アッハハハハ！」"
"ENEMY_ESTER_EMERGENCY_WARP","{enemy}「エステル、緊急出動します！」"
"ENEMY_RENI_TRAP","{enemy}はなにか悪いことをしている！"
"ENEMY_ISOL_MINE_TRAP","{enemy}「作戦準備完了。」"
"SPRING_TRAP_TRIGGERED","スプリングの罠を踏んだ！"
"MINE_TRAP_TRIGGERED","地雷の罠を踏んだ！{damage}ダメージを受けた。"
"PLAYER_TRAP_AVOIDANCE","罠避け状態になった！"
"TRAP_AVOIDED","罠を避けた！"
"FIRE_PILLAR_HIT_PLAYER","炎柱で{damage}ダメージを受けた。"
"FIRE_PILLAR_HIT_ENEMY","{enemy}は炎柱で{damage}ダメージを受けた。"
"FIRE_PILLAR_BURNED_ITEM","炎柱で{item}が消失した。"
"PLAYER_BRAND_ENDED","烙印が解けた！"
"COFFIN_RIDDEN","{enemy}の棺桶に乗った。"
"MONSTER_HOUSE_ENTERED","クローン製造室だ！"
"ENEMY_PRIYA_SINGS","{enemy}「ランララ～♪」"
"ENEMY_NIA_PREVENTED_EXIT","{enemy}「知らなかったのか...？ボスからは逃げられない...！！」"
"ENEMY_SLEEP_WIND","{enemy}は幻想の羽風を使った！"
"PLAYER_FELL_ASLEEP","眠ってしまった！"
"PLAYER_CONFUSED","混乱した！"
"PLAYER_PEACEFUL","平和状態のため、その行動はできない。"
"PLAYER_PEACE_ENDED","平和状態が解けた！"
"PLAYER_HASTED","加速した！"
"PLAYER_HASTE_ENDED","加速が解けた！"
"PLAYER_SLOWED","鈍足になった！"
"PLAYER_SLOW_ENDED","鈍足が解けた！"
"PLAYER_PARALYZED","麻痺した！"
"PLAYER_PARALYSIS_ENDED","麻痺が解けた！"
"ENEMY_FELL_ASLEEP","{enemy}は眠ってしまった！"
"ENEMY_CONFUSED","{enemy}は混乱した！"
"ENEMY_HEART_PEACE","{enemy}「ラブ＆ピース！」"
"ENEMY_LENORE_CONFUSION","{enemy}「あなたのメロディを、私に聴かせて。」"
"ENEMY_ELEVEN_MEAL_TIME","{enemy}「お食事の時間スタート！」"
"ENEMY_HYUNWOO_CHARGE","{enemy}は突進した！"
"ENEMY_HYUNWOO_CHARGE_HIT_ENEMY","{enemy}の突進で{target}に{damage}ダメージを与えた。"
"ENEMY_GOLD_YUKI_DISARM","{enemy}は{item}を弾いた！"
"ENEMY_FIORA_BACKSTEP","{enemy}はバックステップした！"
"ITEM_TRANSFORMED_TO_HAMBURGER","{item}はハンバーガーに変化した！"
"ENEMY_PEACE_ENDED","{enemy}の平和状態が解けた！"
"ENEMY_SLOWED","{enemy}は鈍足になった！"
"ENEMY_PARALYZED","{enemy}は麻痺した！"
"ENEMY_PARALYSIS_ENDED","{enemy}の麻痺が解けた！"
"CONFUSION_ENDED","{target}の混乱はおさまった！"
"PLAYER_WOKE_UP","目を覚ました！"
"ENEMY_WOKE_UP","{enemy}は目を覚ました！"
"LEVEL_UP","レベルが{level}になった！"
"ITEM_ACTION","{item}を{action}。"
"ITEM_CRAFT_SELECT","{item}と組み合わせるアイテムを選んでください。"
"ITEM_CRAFT_SUCCESS","{first}と{second}を使って、{item}を作った！"
"ITEM_CRAFT_FAILURE","うまく作れなかった！{first}と{second}は消失した。"
"ITEM_ATE","{item}を食べた。"
"ITEM_USED","{item}を使った。"
"ITEM_DEPLETED","{item}を使い切った。"
"ITEM_HP_RECOVERY","HPが{amount}回復した。"
"ITEM_MAX_HP_INCREASE","最大HPが{amount}増加した。"
"ITEM_HUNGER_RECOVERY","満腹度が{amount}回復した。"
"ITEM_MAX_HUNGER_INCREASE","最大満腹度が{amount}増加した。"
"ITEM_PICKUP","{item}を拾った。"
"ITEM_EXCHANGED","{inventoryItem}と{floorItem}を交換した。"
"ITEM_PICKUP_FULL","持ち物がいっぱいで、{item}を拾えない。"
"ITEM_STEPPED_ON","{item}に乗った。"
"ITEM_THROW_DIRECTION","{item}を投げる方向を選んでください。"
"ITEM_USE_DIRECTION","{item}を撃つ方向を選んでください。"
"ITEM_THROW_DAMAGE","{item}が{enemy}に当たり、{damage}ダメージを与えた。"
"ITEM_VOLTIC_DAMAGE","{item}の電撃が{enemy}に当たり、{damage}ダメージを与えた。"
"ITEM_THROW_HEAL","{item}が{enemy}に当たり、HPが{amount}回復した。"
"ITEM_THROW_MISS","{item}は{enemy}に当たらず、足元に落ちた。"
"ITEM_DISAPPEARED","{item}は消失した。"
"PICKAXE_DUG","壁を掘った。"
