"ID", "名前", "画像ファイル", "進化先ID", "シンボル", "HP", "攻撃力", "防御力", "経験値", "移動回数", "攻撃回数", "特殊能力ID", "備考"
"72", "エタザヒル", "Chara0020.png", "", "SymbolEta.png", "95", "39", "22", "5600", "1", "1", "72", ""
"73", "ビアンカ", "Chara0021.png", "74", "", "52", "17", "0", "150", "1", "1", "73", ""
"74", "ゴールドビアンカ", "Chara0021.png", "75", "SymbolGold.png", "108", "32", "0", "1100", "1", "1", "73", ""
"75", "ミスリルビアンカ", "Chara0021.png", "76", "SymbolMith.png", "120", "41", "0", "3400", "1", "1", "73", ""
"76", "エタビアンカ", "Chara0021.png", "", "SymbolEta.png", "133", "47", "0", "6200", "1", "1", "73", ""
"77", "ヨハン", "Chara0022.png", "78", "", "33", "12", "3", "100", "1", "1", "77", ""
"78", "ゴールドヨハン", "Chara0022.png", "79", "SymbolGold.png", "72", "27", "7", "750", "1", "1", "77", ""
"79", "ミスリルヨハン", "Chara0022.png", "80", "SymbolMith.png", "94", 32", "11", "2800", "1", "1", "77", ""
"80", "エタヨハン", "Chara0022.png", "", "SymbolEta.png", "101", "36", "14", "4500", "1", "1", "77", ""
"81", "アドリアナ", "Chara0023.png", "82", "", "50", "17", "1", "180", "1", "1", "81", ""
"82", "ゴールドアドリアナ", "Chara0023.png", "83", "SymbolGold.png", "65", "19", "2", "350", "1", "1", "82", ""
"83", "ミスリルアドリアナ", "Chara0023.png", "84", "SymbolMith.png", "85", "31", "3", "2000", "1", "1", "83", ""
"84", "エタアドリアナ", "Chara0023.png", "", "SymbolEta.png", "92", "43", "3", "3500", "1", "1", "84", ""
"85", "エステル", "Chara0024.png", "86", "", "45", "15", "5", "150", "1", "1", "85", ""
"86", "ゴールドエステル", "Chara0024.png", "87", "SymbolGold.png", "103", "24", "5", "700", "1", "1", "85", ""
"87", "ミスリルエステル", "Chara0024.png", "88", "SymbolMith.png", "120", "30", "5", "1200", "1", "1", "85", ""
"88", "エタエステル", "Chara0024.png", "", "SymbolEta.png", "145", "35", "5", "3600", "1", "1", "85", ""
"89", "レニ", "Chara0025.png", "90", "", "2", "10", "50", "50", "1", "1", "89", ""
"90", "ゴールドレニ", "Chara0025.png", "91", "SymbolGold.png", "2", "20", "100", "200", "2", "1", "89", ""
"91", "ミスリルレニ", "Chara0025.png", "92", "SymbolMith.png", "5", "25", "150", "500", "2", "1", "89", ""
"92", "エタレニ", "Chara0025.png", "", "SymbolEta.png", "6", "30", "200", "1500", "2", "1", "89", ""
"93", "アイソル", "Chara0026.png", "94", "", "35", "17", "0", "300", "1", "1", "93", ""
"94", "ゴールドアイソル", "Chara0026.png", "95", "SymbolGold.png", "65", "34", "0", "800", "1", "1", "93", ""
"95", "ミスリルアイソル", "Chara0026.png", "96", "SymbolMith.png", "80", "42", "0", "2800", "1", "1", "93", ""
"96", "エタアイソル", "Chara0026.png", "", "SymbolEta.png", "90", "47", "0", "4700", "1", "1", "93", ""
"97", "アディナ", "Chara0027.png", "98", "", "45", "18", "2", "333", "1", "1", "97", ""
"98", "ゴールドアディナ", "Chara0027.png", "99", "SymbolGold.png", "55", "22", "2", "666", "1", "1", "98", ""
"99", "ミスリルアディナ", "Chara0027.png", "100", "SymbolMith.png", "65", "26", "2", "999", "1", "1", "99", ""
"100", "エタアディナ", "Chara0027.png", "", "SymbolEta.png", "75", "32", "2", "2222", "1", "1", "100", ""
"101", "ハート", "Chara0028.png", "102", "", "6", "3", "0", "3", "1", "1", "", ""
"102", "ゴールドハート", "Chara0028.png", "103", "SymbolGold.png", "65", "22", "3", "450", "1", "1", "102", ""
"103", "ミスリルハート", "Chara0028.png", "104", "SymbolMith.png", "95", "29", "5", "2000", "1", "1", "103", ""
"104", "エタハート", "Chara0028.png", "", "SymbolEta.png", "102", "38", "5", "3800", "1", "1", "104", ""
"105", "レノア", "Chara0029.png", "106", "", "52", "20", "3", "500", "1", "1", "105", ""
"106", "ゴールドレノア", "Chara0029.png", "107", "SymbolGold.png", "78", "26", "2", "2200", "1", "1", "105", ""
"107", "ミスリルレノア", "Chara0029.png", "108", "SymbolMith.png", "83", "36", "2", "3500", "1", "1", "105", ""
"108", "エタレノア", "Chara0029.png", "", "SymbolEta.png", "108", "43", "2", "5100", "1", "1", "105", ""
"109", "Eleven", "Chara0030.png", "109", "", "80", "24", "0", "700", "1", "1", "109", ""
"110", "ゴールドEleven", "Chara0030.png", "110", "SymbolGold.png", "110", "32", "0", "2000", "1", "1", "110", ""
"111", "ミスリルEleven", "Chara0030.png", "111", "SymbolMith.png", "130", "38", "0", "3500", "1", "1", "111", ""
"112", "エタEleven", "Chara0030.png", "", "SymbolEta.png", "150", "44", "0", "7000", "1", "1", "112", ""
"113", "スア", "Chara0031.png", "114", "", "70", "25", "3", "600", "1", "1", "113", ""
"114", "ゴールドスア", "Chara0031.png", "115", "SymbolGold.png", "95", "33", "3", "1800", "1", "1", "113", ""
"115", "ミスリルスア", "Chara0031.png", "116", "SymbolMith.png", "120", "40", "3", "4000", "1", "1", "113", ""
"116", "エタスア", "Chara0031.png", "", "SymbolEta.png", "140", "50", "3", "8000", "1", "1", "113", ""
"117", "ヒョヌ", "Chara0032.png", "118", "", "18", "6", "2", "8", "1", "1", "", ""
"118", "ゴールドヒョヌ", "Chara0032.png", "119", "SymbolGold.png", "60", "26", "6", "550", "1", "1", "118", ""
"119", "ミスリルヒョヌ", "Chara0032.png", "120", "SymbolMith.png", "85", "36", "10", "3000", "1", "1", "119", ""
"120", "エタヒョヌ", "Chara0032.png", "", "SymbolEta.png", "113", "42", "14", "6200", "1", "1", "120", ""
"121", "莉央", "Chara0033.png", "122", "", "45", "28", "3", "450", "1", "1", "121", ""
"122", "ゴールド莉央", "Chara0033.png", "123", "SymbolGold.png", "60", "36", "5", "1800", "1", "1", "121", ""
"123", "ミスリル莉央", "Chara0033.png", "124", "SymbolMith.png", "72", "44", "7", "4500", "1", "1", "121", ""
"124", "エタ莉央", "Chara0033.png", "", "SymbolEta.png", "85", "52", "9", "6500", "1", "1", "121", ""
"125", "フィオラ", "Chara0034.png", "126", "", "68", "26", "2", "720", "1", "1", "125", ""
"126", "ゴールドフィオラ", "Chara0034.png", "127", "SymbolGold.png", "87", "32", "5", "1800", "1", "1", "125", ""
"127", "ミスリルフィオラ", "Chara0034.png", "128", "SymbolMith.png", "102", "37", "7", "4500", "1", "1", "125", ""
"128", "エタフィオラ", "Chara0034.png", "", "SymbolEta.png", "118", "44", "9", "7000", "1", "1", "125", ""
"129", "ダニエル", "Chara0035.png", "130", "", "40", "35", "8", "800", "1", "1", "129", ""
"130", "ゴールドダニエル", "Chara0035.png", "131", "SymbolGold.png", "50", "45", "12", "2200", "1", "1", "129", ""
"131", "ミスリルダニエル", "Chara0035.png", "132", "SymbolMith.png", "60", "55", "16", "3900", "1", "1", "129", ""
"132", "エタダニエル", "Chara0035.png", "", "SymbolEta.png", "75", "65", "19", "5500", "1", "1", "129", ""
"133", "ラウラ", "Chara0036.png", "134", "", "88", "32", "4", "850", "2", "1", "133", ""
"134", "ゴールドラウラ", "Chara0036.png", "135", "SymbolGold.png", "99", "38", "6", "1550", "2", "1", "133", ""
"135", "ミスリルラウラ", "Chara0036.png", "136", "SymbolMith.png", "111", "45", "7", "3200", "2", "1", "133", ""
"136", "エタラウラ", "Chara0036.png", "", "SymbolEta.png", "111", "48", "8", "5000", "2", "1", "133", ""
"137", "バーバラ", "Chara0037.png", "138", "", "32", "14", "2", "150", "1", "1", "137", ""
"138", "ゴールドバーバラ", "Chara0037.png", "139", "SymbolGold.png", "70", "28", "10", "550", "1", "1", "137", ""
"139", "ミスリルバーバラ", "Chara0037.png", "140", "SymbolMith.png", "90", "33", "17", "1650", "1", "1", "137", ""
"140", "エタバーバラ", "Chara0037.png", "", "SymbolEta.png", "110", "40", "22", "3780", "1", "1", "137", ""
"141", "マグヌス", "Chara0038.png", "142", "", "100", "30", "10", "1200", "1", "1", "", ""
"142", "ゴールドマグヌス", "Chara0038.png", "143", "SymbolGold.png", "120", "35", "12", "3000", "1", "1", "", ""
"143", "ミスリルマグヌス", "Chara0038.png", "144", "SymbolMith.png", "150", "45", "17", "8000", "1", "1", "", ""
"144", "エタマグヌス", "Chara0038.png", "", "SymbolEta.png", "200", "60", "23", "14000", "1", "1", "", ""
"145", "マーカス", "Chara0039.png", "146", "", "55", "18", "5", "400", "1", "1", "145", ""
"146", "ゴールドマーカス", "Chara0039.png", "147", "SymbolGold.png", "110", "32", "8", "1200", "1", "1", "145", ""
"147", "ミスリルマーカス", "Chara0039.png", "148", "SymbolMith.png", "130", "44", "12", "7500", "1", "1", "145", ""
"148", "エタマーカス", "Chara0039.png", "", "SymbolEta.png", "165", "60", "16", "12000", "1", "1", "145", ""
"149", "エマ", "Chara0040.png", "150", "", "33", "15", "0", "88", "1", "1", "149", ""
"150", "ゴールドエマ", "Chara0040.png", "151", "SymbolGold.png", "77", "30", "13", "888", "1", "1", "149", ""
"151", "ミスリルエマ", "Chara0040.png", "152", "SymbolMith.png", "99", "40", "15", "2222", "1", "1", "149", ""
"152", "エタエマ", "Chara0040.png", "", "SymbolEta.png", "111", "55", "22", "7777", "1", "1", "149", ""
"153", "カティア", "Chara0041.png", "154", "", "66", "32", "3", "1800", "1", "1", "153", ""
"154", "ゴールドカティア", "Chara0041.png", "155", "SymbolGold.png", "68", "42", "3", "4000", "1", "1", "154", ""
"155", "ミスリルカティア", "Chara0041.png", "156", "SymbolMith.png", "70", "50", "4", "8500", "1", "1", "155", ""
"156", "エタカティア", "Chara0041.png", "", "SymbolEta.png", "72", "60", "5", "13000", "1", "1", "156", ""
"157", "シセラ", "Chara0042.png", "158", "", "51", "28", "0", "900", "1", "1", "157", ""
"158", "ゴールドシセラ", "Chara0042.png", "159", "SymbolGold.png", "76", "35", "0", "2200", "1", "1", "157", ""
"159", "ミスリルシセラ", "Chara0042.png", "160", "SymbolMith.png", "101", "44", "0", "7500", "1", "1", "157", ""
"160", "エタシセラ", "Chara0042.png", "", "SymbolEta.png", "151", "51", "0", "11000", "1", "1", "157", ""
"171", "ユスティナ", "Chara0043.png", "172", "", "65", "30", "5", "950", "2", "1", "171", ""
"172", "ゴールドユスティナ", "Chara0043.png", "173", "SymbolGold.png", "95", "40", "5", "3200", "2", "1", "172", ""
"173", "ミスリルユスティナ", "Chara0043.png", "174", "SymbolMith.png", "113", "48", "10", "6900", "2", "1", "173", ""
"174", "エタユスティナ", "Chara0043.png", "", "SymbolEta.png", "132", "57", "10", "13000", "2", "1", "174", ""
"175", "エイデン", "Chara0044.png", "176", "", "70", "32", "7", "1000", "1", "1", "175", ""
"176", "ゴールドエイデン", "Chara0044.png", "177", "SymbolGold.png", "105", "45", "10", "4000", "1", "1", "176", ""
"177", "ミスリルエイデン", "Chara0044.png", "178", "SymbolMith.png", "130", "50", "12", "7200", "1", "1", "177", ""
"178", "エタエイデン", "Chara0044.png", "", "SymbolEta.png", "144", "60", "16", "14000", "1", "1", "178", ""
"900", "アイザック", "Chara9000.png", "", "", "255", "85", "25", "30000", "1", "1", "900", ""
"901", "ヘイズ", "Chara9001.png", "", "", "192", "75", "25", "25000", "1", "1", "901", ""
